,0,1
11495,2016-04-26 18:33:43.331909180,
11496,2016-04-26 18:34:15.233856201,
11497,2016-04-26 18:34:48.435882568,
11498,2016-04-26 19:28:34.413055420,
11499,2016-04-26 19:30:24.519775391,
11500,2016-04-26 19:31:51.625091553,
11501,2016-04-26 19:33:07.529724121,
11502,2016-04-26 19:33:30.031097412,
11503,2016-04-26 20:27:06.507690430,
11504,2016-04-26 20:27:42.409881592,
11505,2016-04-26 20:32:46.828460693,
11506,2016-04-26 20:34:41.335449219,
11507,2016-04-26 22:34:25.034454346,
11508,2016-04-26 22:34:26.434539795,
11509,2016-04-26 23:25:28.601715088,
11510,2016-04-26 23:28:28.812713623,
11511,2016-04-26 23:31:48.424896240,
11512,2016-04-26 23:32:50.228668213,
11513,2016-04-27 00:31:25.823516846,
11514,2016-04-27 00:35:51.539733887,
11515,2016-04-27 01:25:32.501953125,
11516,2016-04-27 01:25:33.302001953,
11517,2016-04-27 01:28:33.813018799,
11518,2016-04-27 01:32:46.628448486,
11519,2016-04-27 03:25:42.302551270,
11520,2016-04-27 03:34:04.733215332,
11521,2016-04-27 04:26:01.403717041,
11522,2016-04-27 04:26:31.205535889,
11523,2016-04-27 04:32:56.029022217,
11524,2016-04-27 04:35:20.437835693,
11525,2016-04-27 05:25:34.202056885,
11526,2016-04-27 05:27:26.708923340,
11527,2016-04-27 05:27:53.810577393,
11528,2016-04-27 05:28:58.614532471,
11529,2016-04-27 05:30:14.019134521,
11530,2016-04-27 05:31:54.725280762,
11531,2016-04-27 05:33:01.529357910,
11532,2016-04-27 05:33:45.332031250,
11533,2016-04-27 06:29:23.216033936,
11534,2016-04-27 06:30:52.621490479,
11535,2016-04-27 07:33:09.529846190,
11536,2016-04-27 07:34:29.934753418,
11537,2016-04-27 08:26:30.005462646,
11538,2016-04-27 08:27:51.110412598,
11539,2016-04-27 08:29:00.714660645,
11540,2016-04-27 08:30:25.219818115,
11541,2016-04-27 08:30:25.819854736,
11542,2016-04-27 08:30:51.921447754,
11543,2016-04-27 09:30:20.819549561,
11544,2016-04-27 09:32:24.227081299,
11545,2016-04-27 09:32:24.727111816,
11546,2016-04-27 09:34:23.834381104,
11547,2016-04-27 10:26:11.504333496,
11548,2016-04-27 10:26:50.306701660,
11549,2016-04-27 10:28:57.214447021,
11550,2016-04-27 10:31:19.623138428,
11551,2016-04-27 10:32:03.025787354,
11552,2016-04-27 10:33:16.130249022,
11553,2016-04-27 10:33:41.231781006,
11554,2016-04-27 10:34:17.734008789,
11555,2016-04-27 10:34:59.636566162,
11556,2016-04-27 10:35:35.438751221,
11557,2016-04-27 10:36:15.041168213,
11558,2016-04-27 11:27:00.307312012,
11559,2016-04-27 11:27:40.009735107,
11560,2016-04-27 11:28:02.411102295,
11561,2016-04-27 11:28:27.512634277,
11562,2016-04-27 11:28:51.914123535,
11563,2016-04-27 11:29:15.415557861,
11564,2016-04-27 11:30:36.320495605,
11565,2016-04-27 11:30:54.421600342,
11566,2016-04-27 11:31:26.423553467,
11567,2016-04-27 11:31:49.924987793,
11568,2016-04-27 11:32:20.326843262,
11569,2016-04-27 11:32:43.128234863,
11570,2016-04-27 11:33:43.331909180,
11571,2016-04-27 11:34:19.334106445,
11572,2016-04-27 11:34:50.436004639,
11573,2016-04-27 11:36:16.841278076,
11574,2016-04-27 12:25:49.202972412,
11575,2016-04-27 12:32:22.326965332,
11576,2016-04-27 12:34:27.434600830,
11577,2016-04-27 12:35:33.838653564,
11578,2016-04-27 13:25:38.402313232,
11579,2016-04-27 13:25:40.402435303,
11580,2016-04-27 13:28:10.211578369,
11581,2016-04-27 13:28:17.212005615,
11582,2016-04-27 13:32:22.826995850,
11583,2016-04-27 13:33:14.630157471,
11584,2016-04-27 13:36:37.242523193,
11585,2016-04-27 13:36:37.542541504,
11586,2016-04-27 14:30:23.619720459,
11587,2016-04-27 14:30:25.319824219,
11588,2016-04-27 14:32:25.427154541,
11589,2016-04-27 14:34:04.933227539,
11590,2016-04-27 14:34:30.934814453,
11591,2016-04-27 14:34:32.334899902,
11592,2016-04-27 14:35:21.337890625,
11593,2016-04-27 14:36:33.342285156,
11594,2016-04-27 14:36:36.242462158,
11595,2016-04-27 15:26:45.606414795,
11596,2016-04-27 15:28:42.413543701,
11597,2016-04-27 15:30:14.219146729,
11598,2016-04-27 15:32:22.126953125,
11599,2016-04-27 15:33:55.232635498,
11600,2016-04-27 15:35:43.239227295,
11601,2016-04-27 15:35:43.839263916,
11602,2016-04-27 16:33:35.331420898,
